Date,Open,High,Low,Close ,Adj Close ,Currency,Volume
15-Jul-24,118.52,118.99,118.28,118.6,114.41,USD,2087400
12-Jul-24,117.38,118.44,117.23,118.09,113.92,USD,2447300
11-Jul-24,116.61,117.87,116.31,116.88,112.76,USD,4341600
10-Jul-24,115.53,116.2,115.29,116.19,112.09,USD,4329400
9-Jul-24,114.88,115.35,114.02,115.31,111.24,USD,1990800
8-Jul-24,114.11,114.92,113.75,114.91,110.86,USD,2252100
5-Jul-24,116.12,116.39,114.07,114.14,110.11,USD,2119700
4-Jul-24,116.72,116.72,115.95,116.08,111.98,USD,663800
3-Jul-24,115.82,116.25,115.36,116.11,112.01,USD,1361800
2-Jul-24,114.25,115.57,114.2,115.25,111.18,USD,2704700
28-Jun-24,114.38,115.22,114.1,114.83,110.78,USD,3747900
27-Jun-24,115.47,115.48,113.75,114.05,110.03,USD,2633300
26-Jun-24,115.28,115.72,114.56,115.67,111.59,USD,1102400
25-Jun-24,116.1,116.11,115.09,115.84,111.75,USD,835800
24-Jun-24,114.92,116.48,114.81,116.4,112.29,USD,2858300
21-Jun-24,114.57,115.17,114.26,114.88,110.83,USD,7533000
20-Jun-24,115.41,115.79,114.38,114.72,110.67,USD,2822000
19-Jun-24,115.02,115.86,114.95,115.76,111.68,USD,1291400
18-Jun-24,114.8,115.84,114.6,115.46,111.39,USD,1755700
17-Jun-24,114.85,115.38,114.47,114.97,110.91,USD,1564600
14-Jun-24,115.51,115.52,114.46,114.86,110.81,USD,1727200
13-Jun-24,116.3,116.4,115.14,116.04,111.95,USD,1569400
12-Jun-24,116.16,117.26,115.92,116.56,112.45,USD,2693100
11-Jun-24,115.63,115.63,114.57,114.89,110.84,USD,1384500
10-Jun-24,116.32,116.76,115.42,116.24,112.14,USD,1756000
7-Jun-24,117.75,118.15,116.69,116.89,112.77,USD,3784200
6-Jun-24,118.81,119.5,117.76,118.28,114.11,USD,1918400
5-Jun-24,120.06,120.15,118.42,118.85,114.66,USD,1980900
4-Jun-24,121,121,118.85,119.76,115.53,USD,1733800
3-Jun-24,120.5,121.79,120.03,121.28,117,USD,2857300
31-May-24,119.74,121.55,119.23,121.55,117.26,USD,4044600
30-May-24,120,120.44,118.71,119.82,115.59,USD,3950300
29-May-24,127,127.08,119.03,119.48,115.26,USD,7420100
28-May-24,130.39,131.4,130.24,131.1,126.47,USD,3040400
27-May-24,130.26,131.17,130.26,130.82,126.2,USD,387600
24-May-24,130.18,131.1,129.85,130.48,125.88,USD,1588200
23-May-24,129.62,130.34,128.96,129.87,125.29,USD,2995900
22-May-24,128.55,129.56,128.38,129.34,124.78,USD,1590600
21-May-24,128.73,130.28,128.25,129.17,124.61,USD,3344900
17-May-24,128.96,129.7,128.7,129.63,125.06,USD,3659100
16-May-24,129.57,130.1,128.58,128.62,124.08,USD,1537000
15-May-24,129.24,129.84,129.24,129.56,124.99,USD,1471300
14-May-24,128.92,129.31,128.75,128.97,124.42,USD,1225700
13-May-24,128.5,129.19,128.3,128.61,124.07,USD,3043000
10-May-24,127.67,128.68,127.58,128.16,123.64,USD,1772000
9-May-24,127.56,128.77,127.36,127.43,122.93,USD,1246800
8-May-24,125.81,127.59,125.81,127.56,123.06,USD,1554900
7-May-24,127.76,127.94,126.25,126.32,121.86,USD,3507000
6-May-24,125.26,127.38,124.73,127.18,122.69,USD,3264500
3-May-24,123.69,124.95,123.55,124.79,120.39,USD,2845900
2-May-24,123.86,123.95,122.3,122.92,118.58,USD,2961100
1-May-24,122.93,124.44,122.63,123.34,118.99,USD,2833700
30-Apr-24,122.97,124.07,122.83,122.97,118.63,USD,3358200
29-Apr-24,124.72,124.97,122.64,123.4,119.05,USD,5245500
26-Apr-24,1.51 Dividend,,,,,USD,
26-Apr-24,124.95,125.69,123.73,124.23,119.85,USD,3318800
25-Apr-24,126.19,126.99,125.33,126.69,120.76,USD,2870300
24-Apr-24,127.94,128.98,126.66,127.24,121.29,USD,4985600
23-Apr-24,127.5,128.38,127.43,128.11,122.12,USD,2115300
22-Apr-24,127.22,127.9,126.67,127.36,121.4,USD,5250500
19-Apr-24,125.68,127.11,125.36,126.75,120.82,USD,2907700
18-Apr-24,125.81,126.38,124.44,125.36,119.49,USD,1876800
17-Apr-24,126.21,126.85,124.85,125.27,119.41,USD,2865900
16-Apr-24,127.63,127.83,125.65,125.93,120.04,USD,2680000
15-Apr-24,128.94,129.78,127.33,127.84,121.86,USD,2122000
12-Apr-24,129,129.37,127.63,128.15,122.15,USD,2185600
11-Apr-24,130.32,130.47,129.01,129.66,123.59,USD,2561900
10-Apr-24,132.36,132.36,129.75,130.72,124.6,USD,2808800
9-Apr-24,133.41,133.95,132.6,133.53,127.28,USD,1072700
8-Apr-24,132.15,133.6,132.15,133.08,126.85,USD,2051800
5-Apr-24,130.9,132.56,130.81,132.05,125.87,USD,2200000
4-Apr-24,132.07,133.43,130.6,130.92,124.79,USD,3558800
3-Apr-24,130.72,132.45,130.72,131.15,125.01,USD,1180700
2-Apr-24,131.99,132.46,130.63,130.92,124.79,USD,1228700
1-Apr-24,132.25,132.9,131.68,132.5,126.3,USD,1139000
28-Mar-24,130.77,132.68,130.67,132.25,126.06,USD,2128400
27-Mar-24,130.4,131.1,130.04,130.77,124.65,USD,1824500
26-Mar-24,130.01,130.65,129.83,130.35,124.25,USD,3307200
25-Mar-24,129.84,130.9,129.82,129.96,123.88,USD,1089600
22-Mar-24,130.68,131.15,129.88,130,123.92,USD,1678100
21-Mar-24,129.75,131.06,129.73,130.5,124.39,USD,2080400
20-Mar-24,127.56,129.65,127.39,129.62,123.56,USD,2982800
19-Mar-24,127.42,128.27,127.01,127.59,121.62,USD,1044200
18-Mar-24,127.28,127.45,126.1,127.17,121.22,USD,866900
15-Mar-24,126.5,127.63,125.91,127.11,121.16,USD,5854800
14-Mar-24,128.65,128.75,126.56,126.9,120.96,USD,2011400
13-Mar-24,127.61,128.77,127.53,128.7,122.68,USD,1044300
12-Mar-24,127.6,127.85,127.14,127.57,121.6,USD,637000
11-Mar-24,126.43,127.53,126.03,127.33,121.37,USD,960800
8-Mar-24,126.42,127.1,126.28,126.91,120.97,USD,1055000
7-Mar-24,125.44,126.49,124.94,126.32,120.41,USD,991200
6-Mar-24,125.17,125.67,124.1,125.01,119.16,USD,1259300
5-Mar-24,123.88,125.01,123.62,124.28,118.47,USD,1212000
4-Mar-24,123,124.7,122.87,124.03,118.23,USD,973000
1-Mar-24,123.6,123.67,122.28,123.07,117.31,USD,1866000
29-Feb-24,122.36,122.97,121.6,122.84,117.09,USD,5084700
28-Feb-24,122,123.03,121.34,121.57,115.88,USD,1878500
27-Feb-24,122,122.95,119.51,122.31,116.59,USD,7529000
26-Feb-24,128.01,128.82,126.78,126.83,120.9,USD,3702300
23-Feb-24,127.91,128.87,127.88,128.14,122.14,USD,1290800
